Site_Id,Read_Date,Dissolved Oxygen (mg/L),pH (standard units),Secchi Depth (m),Water Depth (m),Water Temp (?C),Air Temp (F),Time (24:00),AirTemp (C),Year
D,11/8/2012,8.6,6,0.5,1.5,9,45,00:00,7.222222222,2012
D,12/11/2013,8.65,6.5,0.8,0.8,8,38,00:00,3.333333333,2013
D,12/13/2012,8.8,6.5,0.9,1.6,9,48,00:00,8.888888889,2012
D,12/15/2015,6.6,6,0.7,1.8,16,63,10:00,17.22222222,2015
D,12/2/2014,9.7,6,1.2,1.2,10,48,10:05,8.888888889,2014
D,12/22/2011,9.8,7,1,1.4,16,60,00:00,15.55555556,2011
D,12/30/2015,6.2,6,0.7,1.4,19,59,12:00,15,2015
D,2/21/2012,10,6.5,1,1.5,8,46,00:00,7.777777778,2012
D,2/24/2015,10,6.5,0.1,0.15,0,25,10:20,-3.888888889,2015
D,2/28/2013,9.8,6.5,1.5,1.5,9,48,00:00,8.888888889,2013
D,3/12/2014,8.2,6,1.2,1.4,14,54,10:45,12.22222222,2014
D,3/28/2013,10,6.5,1.4,1.6,8,48,00:00,8.888888889,2013
D,3/8/2012,9.5,6.5,1.2,1.5,14,58,00:00,14.44444444,2012
D,4/10/2014,8.2,6.5,0.9,1.6,16,53,10:15,11.66666667,2014
D,4/14/2011,6.9,6.5,0.9,1.4,19,58,00:00,14.44444444,2011
D,4/26/2012,7.4,6.5,0.8,1.4,17,63,00:00,17.22222222,2012
D,4/26/2013,8.6,6.5,0.3,1.5,15,54,00:00,12.22222222,2013
D,4/7/2015,7.4,6.5,0.9,1.3,16,64,10:10,17.77777778,2015
D,5/24/2012,6.1,6.5,0.9,1.5,25,72,00:00,22.22222222,2012
D,5/25/2013,5.5,6,0.5,1.5,24,72,00:00,22.22222222,2013
D,5/7/2014,6.6,6.5,0.5,1.5,19,60,10:15,15.55555556,2014
D,5/7/2015,7.7,7,1.1,1.3,20,65,10:15,18.33333333,2015
D,6/1/2015,5.8,7,0.2,0.9,27,75,09:55,23.88888889,2015
D,6/28/2012,5,6.5,0.6,1.3,27,73,00:00,22.77777778,2012
D,6/9/2011,4.8,7,0.6,1.2,29,85,00:00,29.44444444,2011
D,7/14/2011,5.6,6.5,0.8,1.1,27,76,00:00,24.44444444,2011
D,7/19/2012,4.2,7,0.8,1.4,30,82,00:00,27.77777778,2012
D,7/22/2014,5.3,7,0.8,1.3,27,80,10:05,26.66666667,2014
D,7/25/2013,3.8,6.5,0.7,1.8,27,72,00:00,22.22222222,2013
D,7/8/2014,5.8,6.5,1,1.3,28,83,10:15,28.33333333,2014
D,8/13/2015,6.1,6,0.9,1.1,27,82,10:10,27.77777778,2015
D,8/22/2013,4.2,6.5,1.1,1.5,27,78,00:00,25.55555556,2013
D,8/23/2012,5.5,6.5,0.7,1.4,26,76,00:00,24.44444444,2012
D,8/28/2014,5.3,6.5,1,1.5,25,78,10:15,25.55555556,2014
D,8/8/2013,6.8,7,0.9,1.3,26,79,00:00,26.11111111,2013
D,9/13/2012,5.2,6.5,1,1.25,23,70,00:00,21.11111111,2012
D,9/22/2011,4.6,6.5,0.6,1.4,25,78,00:00,25.55555556,2011
D,9/26/2013,6.1,6.7,0.9,1.1,20,69,00:00,20.55555556,2013
D,9/9/2015,4.8,7,0.6,0.9,28,82,10:00,27.77777778,2015
